Comment,label
sehat mahal jaga bersih sehat,positif
bangun tata manusia bumi rupa sesuai manusia hancur hukum alam nomor,positif
tes nya bayar,netral
kasihan abar berita buruk,negatif
udah masa panggil mbak dukun,netral
welcom to indonesia atur langgar wkwkwkkk imun manusia usia muda bagus banding imun tua komplikasi jegala call center isolasi jaga sehat lupa pake masker umur muda triase medik prioritas,positif
ga pake masker,netral
ya alloh pidah virus corona indonesia laut,netral
pasrah karna kerja d proyek d lapangn ga da pilih perut ttp kenyang moga dalm lindung ya allah amin amin yarobal alamin,positif
wow malu ah gk banget,negatif
patuh perintah perintah ga lokdwon coba kaya tetangga langsung lokdwon ga korban,positif
selagi ngak lockdown awal ketat polisi tentara tambah suruh warga asing pulang malang ramai ajar sebar malang orang kaya ngak virus tular,negatif
jubir na hebat gk corona mkn aja tuh,positif
sosialisasi dokter masuk rumah periksa masyarakat biar cepet tenang masyarakat nunggu rs lanjur sakit,negatif
first berita,positif
gratis harga cek corona,positif
ngomong orang mulu mana menkes bilang corona sembuh ga nongol dampingin kasih info ga muncul trus kerja menkes,netral
mari smua angkat tangan luang wktu untk baca al fatihah amiennn smoga msa sulit tolong perintah perhati rakyat sedia an batas dlm butuh pokok,negatif
masker gratis and sanitizer bos,positif
salah dar udah stop jalan masuk negeri wabah indonesia temu vc an aja negara,negatif
mas orang ngumpul ngumpul,netral
indonesia lockdown aja tolong banget dilockdown aja kalo gin mah ga ngaruh udah tau orang indonesia batu batu,positif
takut virus,negatif
indonesia tlg gaul dg orang anggap enteng covid ni blh harap dg perintah mula isolasi sentiasa cuci tangan dg sabun detik kerap,positif
cerita sosial distancing ramai anjur harap kali presiden donk buang badan kepala daerah,positif
tuhan kati kpd presiden pemerintahanya sadar selamat bangsa moga cepat atas ekonomi indonesia cepat stabilamin,positif
malaisia orang aja indonesia ter orangindonesia disiplin,netral
selisih orang saudi,netral
pemrintah gimana udah cegah covid nyuruh henti giat social gimana nasib pegwai pabrik langgar atur nya aja ttp produksi kerja udah kasih surat edar pmerintah henti kalo virus nular warga situ atw keluarga nya bahaya boss nya ga mikir nunggu karyawan nya positive kali gikiran udah kena nyalahin perintah setan warga,negatif
jd tri sehat,positif
jakrta yaa daerah informasi update langsung pemda gimana nih,positif
moga pandemi corona pergi indonesia yuk apatis putus rantai tular sehat indonesia ku amin,positif
sadar masyarakat virus trus tambah nyala perintah perintah sdh upaya atas musibah baik sadar utk aktivitas risiko jangkit virus,positif
banyak dki jakarta,netral
corona indonesia mari bantu tanggulang wabah corona cepat atas,positif
lebay,netral
terima kasih pk trus update hari sehat sehat pk,positif
ajar smp utama penting penting pribadi ajar agama islam utama pahala tolong orang lupa tolong,positif
ajar smp utama penting penting pribadi ajar agama islam utama pahala tolong orang lupa tolong,positif
jakarta udar corona,netral
orang financial nya mati covid jujur beli masker harga lembaratau beli antiseptic harga adil,positif
cuy indonesia tuh channel si logika aa rancu wakwkawka ken nampar tuh statement pake bukti,netral
pasar rumah mari lawan covid,netral
beda skit pake masker sehat ga prlu orang skt akn minder pake masker hrsny d anjur sehat n skt pke msker bgt bego,positif
duit santui rakyat miskin kerja sejari mkan hari larang makan perintah mohon erti nya,negatif
innalillah moga lockdown ayo teman isolasi diam rumah desak maslahat,netral
flu burung vs db corona gejala china corona demam batuk indonesia corona n dri dlu istrahat sakit lansia tidur atas motor beku,negatif
selamat malam doa sehat suka pidato teks tenang,positif
ngeyel,netral
gws world,netral
isolasi perum cirebon cemooh diketawain shalat rumah ketawa orang bilang mui cirebon anjur shalat berjama ah masjid shalat jum at laksana masjid aji jalan bilang jangantakut corona takut allah sakit allah lindung masjid gambar isolasi cirebon sepenuh laksana,positif
nasib bagi kurir,netral
gue ken denger komentar perintah kemrn bikin joke kait corona netizen kemrn bilang orang indonesia kebal virus corona komentar izin allah manusia sombong dikit fatal moga allah ampun indonesia,netral
harap angka trakhir gk smpe andal perintah jaga keluarga minum vitamin jamu rempah jemur jaga bersih berat sih mmerangi ayo rang,positif
iran italy patuh himbauan perintah,netral
ok udah bgini brarti udah kena brarti dah kena ribu pasok obat amanin jenis obat reda gejala search aja media utub contoh spt ibuprofen n tylenol preferrably,positif
kompas tv one muncul data akurat,positif
pikir asa film film akan paksa tebak nebak,negatif
auto ribu kena,netral
dengerin patuh perintah meminimalisir cegah corona umat dungu sok kuat sok berani bawa nama tuhan tp pas kena corona mati keluarga menyalahakan perintah udah umat dungu sok pandang enteng virus waspada umat dungu,positif
hebat pa ahmad penting waspada masyarakat ttg edukasi perintah jajar haraoan media nitisen bantu sosialis hoax bingung masyarakat,positif
adzab,netral
udah suspek udah ribu lebihhhh lambatttttt kalo udah puluh ribu repot lhu mantaunya,positif
dettol kosongalkohol kosongmasker kosonghand sanitizer kosong,negatif
coronaa pergi engkauu,netral
ayo indonesia be smart stay homejaga jarak,positif
ya alloh orang ind meanggap virus dg remeh kecuali doa hrs ikhtiar dg patuh perintah intruksikan moga allah tolong bangsa ind dg rahmat kasih sayang aamiin,netral
apa virus presiden ama menkes nya gk tampil gk mutu blas,netral
elu nongol bawa berita buruk update pasien betambah bsk loh blm tp udh bs tebak pst elu nongol lg bsk bawa berita update pasien tingkat lg ya lusa gt lg smpe trus solusi nya ap ya perintah,negatif
in fact knapa case d indo nambah thts mean periksa sblumnya kn blum bsa tau bhkn smpai d rgukan who d bayang total tgl ktahuan alhamdulillah nambah loh baik tlah perintah warga indo bantu perintah tolong bantu bantu lambat we fight this virus all of us remember lambat note oh iya baca flu batuk harap social distancing trus buang ludah ciduh,negatif
orang indonesia banyak bilang gk takut sm corona lbh takut sma allah emang gk takut sm allah tp sehat ikut atur perintah,positif
akun cloning buzzer dsb waris pilpres pilkada dki msh byk aja kolom komen youtube ga bs ya screening ky gn,netral
kaya tau corona pas orang depok kaya udh corona pikir ki,netral
persentase mati huaks,negatif
dengerin tuh manusia bebal mati tangan tuhan bebal nurut kena orang kena mati mati aja moga sehat tabah,positif
tau umur korban tinggal umur nya muda umur,positif
ya allah moga virus korona bumi ramadhan selamat jauh virus mati,negatif
disruh drmh sush,netral
aja kena virus,netral
moga virus corona cepat resah manusia lagiini tingkat darurat jaga sehat kitasering cuci tangan pakai sabun biar bersih sehatperbanyak makan makan vitamin buah buah sayur dll,positif
takut aja jalan mati nemenin keluarga teman awat damping sembuh tinggal mikir takziah nguburin oh ya allah angkat virus ya allah ramadan,netral
warga jakarta curiga infeksi corona dada sakit tp bayar cek rumah sakit usaha sepi kantor tutup harap perintah jakarta bs solusi masyarakat gratis moga jokowi baca coment,positif
positif tp cm sakit ringan isolasi sndiri rumah berat bantu dr keluarga sulit krn jaga jarak lihat d wuhan kluarga pasien positif apd lengkap sperti,positif
penuh orang tabligh akbar dkm nya panitia peduli,positif
dimalaysia tinggal skrng smua orang libur slama ttp brada didlam rumah tpi negara libur pergi libur emmm kuasa langsung tindak,netral
udh deh masyarakat kadang bandel aware klau rumah tp klau dar jalan plis sehat carrier sakit nular anak muda ngopi sebat gada otak,positif
hallo warga indonesia mayoritas orang islam sholat doa mohon allah virus cepat hilang ramadhan,positif
konsultasi bayar mahal,negatif
please update tinggal nya tinggal covid nya berita tinggal dar suspect blm positif covid biar mengurangin panik masyarakat angka korban tinggal tambah,positif
president ri,netral
brp ya,netral
y alloh smoga buln suci romadhon corona clear hilng agr ibadah puasa trawih lncar tidk larang amien,positif
tolong yuri lockdown negara tp kasih solusi ekonomi masyarakat rakyat indonesia banyak hidup kalang tengah klu sruh rmh ya ga cari uang makan ga bayar cicil tolong solusi,positif
wspda shabt saudara korona,netral
nanya nih sakit bawa kek bronkitis flu sesak napas resiko gag sih,netral
sih m fungsi,netral
laku tes covid masal indonesia peta sebar covid sebar covid,netral
keppo indonesia angka mati ya warga benah barangkali kurang angka mati malay aja udah orang kena tinggal an tinggal an,negatif
a muda positif ga kliatan sakit qta priksa qta positif ga nya gmn sdngkan rmh skit ga nrima nyari masker susah skali a mahal masyarakat gmn isolasi rumah sdngkan kerja rumah ga kerja ga makan perintah mikir smpe situ ga ngomong gampang jalalani a gmn soluisi kmi butuh teori,negatif
dispelekan indo gabakal kena corona dll jabat anggap lelucon dr presiden suruh minum jamu jabat nya cegah tp biar buka bandara cmn pasang ecek suhu termometer heboh wni positif corona sampe skrgpun tambah moga lekas pulih indo anggap spele depan nya gerak cepat,positif
yaa allah moga cepet barlalu,netral
takabur sih uji allah ngejamin indonesia sterill covid dewa boss olah istimewa rakyat layan rakyat nya meng istimewa rakyat,netral
aneh bin ajaib bnyk negara papar virus corona tp jabat militer kena corona tinggal dunia amazingrata media berita masyarakat awam bnyk korban corona tinggal konspirasi balik corona,negatif
waduk pluwet kumpul orang malam,netral
sebenernya kali muncul ni virus indonesia sdh aja deteksi lapor tingkat apa moga ni virus lekas go away amin terinveksi lekas sembuh tinggal tambah khusnul khotimah amin blm infeksi mari bantu doa lawan virus salah patuh atur warga bijak takut allah swt tp ikhtiar salah ya,positif
protokol datang nyampe rumah pergi jemur matahari halaman buka sepatu pintu pasuk rumah tuang semprot alkohol desinfektan sepatu tsb,netral
moga achmad sehat slalu ya tau lelah muncul dpn layar topik berita bkan berita hari sehat sehat orang orang diri d gardu sehat,positif
parah takut kerja daftar sehat hadap dg pasien tolong perintah libur,negatif
stay at home borong bekal bahan pokok makan tinggal diam rumah moga hasil,netral
doa utk tim medis awat dokter tenaga tehnisnya tim layan bersih peyexia makan moga sehat krkuatsn fisik kati tihan maha esa umur sehat walafiat dlm jalan tugas amin,positif
laku atur sosial distance trus nasib kerja lapang supir kernet supir truk ojek online dagang kaki ttp cari nafkah keluarga ny suami kerja nya kernet supir truk diam rumah suami kirim barang corona nya bnyak tolong perhati rakyat,positif
masyarakat suruh rumah semntara hrs bayar pinjam finance bank solusi perintah bg coruna tangan serius serius urus perut kena coruna kena lambung busung lapar,negatif
usul info jaga jarak m orang wajib tegur orang brdempetan,netral
nya nambah mulu salah,negatif
scrining test bayar,netral
tolong keluh ringan usaha isolasi,netral
cari klinik masker udah habis gmna nih,netral
akibat ideologi atas agamamakan tuh ideologi,netral
hallo pimpin,netral
m,netral
moga virus china lekas lenyap bumi indonesia aamiin,netral
sok pinter comment perintah tanggap kebanyakn koment keluyur kayak kelelawar iya perintah salah langsung lockdown iya salah perintah perintah keluyur keluyur waras,negatif
perintah sombong indonesia kebal corona gilir kena bingung ngadepin nya,negatif
please lock down jakarta,netral
aslkum tangan virus corona cepat selesai amiinnn virus corona tangan spt virus hepatitis b luas nang orang ga sulit obat kondisi rs nya,positif
badan gw anget tp cmn area jidat leher doang ya sistem imun ku lawan corona,negatif
tolong pa hub ntt tutup benerbangan kasi orang ntt kurang rs tenaga medis miskin klau obat bayar pake sakit ajja obat tradisional,netral
kalo rakyat negara sehat didik maju aman tentara nya kuat rakyat sakit sakit sehat moga depan perintah atur dunia sehat,positif
ayo yaahh sakit ngga sakit rumah aja ga ush ga jaga jarak kerja abis kerja langsung pulang ngga rumah datang langsung cuci tangan ganti baju semangat,negatif
ayo bahu bahu gotong royong bebas corona butuh bersih disiplin,positif
barangkali disni anggota polres hinbau tutup buat sim karna situ syarat sidik jari sidik jari pake ganti harap tutup,negatif
virus bahaya liat kematianya virus mati imun kuat imun lemah percaya kuasa patuh perintah rumah insya allah april virus musnah,negatif
percaya tuhan aja sehat dptkan berfikiran tkut kena krna batin jasmani jdi down percya pda tuhan jlini sehat,positif
orang indonesia susah atur ingat bilang masyarakat kelompok kelompok anak suami tetangga ngumpul ngumpul jaga jara pakai masker,negatif
negri daya dlm korona tambah retorika politik bodoh rakyat nampak baser rezim asbun kumpul muas tuan presiden biar rakyat kapar perut kuasa mekar,negatif
perintah keras krna patuh anjur perintah salam harga tp selamat jaga jarak menjahui tp antisipasi ayo indonesia bsa coba smgat sinergi hindar serah pd kuat illahi,positif
waspada sabar usaha jaga usaha mengatasisi covid salah bentuk tawakkal allah papar sembuh tinggal sesuai sunatullah moga tinggal amal baik kedaan salah allah maha kam luas langit bumi,positif
persentase korban tinggal kontra produktif santuy bgt sewa influenser kenal promosi in pariwisata indonesia wabah corona wuhan ya nasi bubur mari bantu perintah putus rantai sebar virus rumah rutin cuci tangan terap pola hidup sehat panik ragu tarap sosial distancing luar,positif
ngomongnya mudah pdahal kenyataanya lapang aja masker handsanitizer dll tau gimana langkang gimana mahal liat kenyataanya mudah ngomong pake masker sering cuci tangan,positif
lock down boss,netral
isolasi rumah liburin aja tingkat positif tambah gmna,positif
assalamualaikum tri kes gakk lock down indo gmn ada tes ksehatan stiap puskesmas rt rw tes jkt doang khawatir daerah pangandaran jawa barat instruksi apa tkt paaakkk toloonggg,negatif
bus jakarta sumbar tutup tolong sumbar,netral
dengerin ya kalo lockdown tuh stok makan nya kasih perintah ga nyetok logistik kalo lockdown ga kasi logistik mati beda aja jalan warga milih mati korona mati lapar,netral
mati pesimis gw negara dikit banget,netral
si awan ga,positif
alat tes biozex covid banyak test rumah karantina mandiri tunjuk obat minum gejala berita jangkit aja bikin stress,positif
berita buruk perintah peka,negatif
obat corona udah distri busi sih indonesia,netral
sakit orang kaya senang pergi imbas orang miskin,negatif
manado sanitizer masker kosong smua perintah tolong kaum miskin bagi lindung miskin manusia layak sehat hidup,positif
astaghfirullah udah ajah,netral
introspeksi salah hare krishna hare krishna krishna krishna hare harehare rama hare rama,netral
sya esok hri bs tembus angka infeksi krn orang indo bandel,netral
emang sih kaula muda ngopa ngopi nongki udah imbau ngelakuin social distancing mikir fisik kuat corona ga bahaya ga mikir dampak orang carrier virus,positif
perintah sembako biar suami bs tinggal rumah cari duit orang kaya sm pegawai sih enak tinggal rumah santai aja trus giamana nasib kalo kerja cuman ngojek doang kadang dapet kadang gimana coba,positif
pikir kerja g duit kantor kasih bijak bla bla bla,positif
tanjak gaes me sadar lockdown lambat mana haha ujung nya mati tangan tuhan,positif
mmg obatmya msh bnyak tinggal,netral
semangat indonesia negara cepat basmi corona kuat ekonomi baik,positif
gimana gotong royong semangat ad semangat,netral
knp tambah blm utk kendali santai santai sebar bagai cb tiru taiwan tnp lockdown hasil kendali,netral
panik bosan panik,negatif
tangan maximal lolos pantau alat alat sehat modern canggih indo no angka mati seasia parah,positif
warga indonesia pingsan duga corona jauhin dekatin,negatif
beda china ama indonesia indonesia bacot nya kerja nya pakar undang manfaat nya beda ama china irit bicara kuat kerja nya bahu bahu cepat selesai,netral
corona virus ngak tahan karna made in china,netral
covid hilang muka bumi,netral
indonesia angka mati orang indonesia ndableg kena dsalahkan perintah kena sombong sok kuat pola hidup sehat nya buruk brpengaruh angka survive nya orang trjangkiti,positif
kerja makan lurrr kluar rumah trus makan makan kerja uang beli beras orang miskin isolasi sulit lurrr,negatif
keluarga mudik desa sowan ortu paksa kemaren nelpon ortu maaf sowan kota tinggal positif covid khawatir nekat mudik stigma negatif desa,negatif
nich fatality ratenya bilang roket,netral
iya isolasi laku duit hari dagang makan sepi dagang isolasi kluarga makan,netral
kantor teman cerita kalimantan selatan hebat pasien corona kantor buka trus absen sidik jari jalan sedia hand sanitizer dsb samping kantor nya kolam renang kelola dinas pemuda olahraga jadi fasilitas buka ramai unjung renang ya hari orang unjung renang gedung futsal kelola dinas pemuda olahraga provinsi,positif
nasib kerja hari cari uang suap nasi harinyabagaimana pikir perintah masyarakat miskin tinggal kontra uang uang bekerjauntuk perintah pikir masyarakat miskin nasib rumah sumbang perintah,negatif
gw bingung orang data ya,negatif
warga sadar bahaya corona karna tewas coba udah sadar doa aja ketawa ketiwi takut corona pas kena nyalahin orang dah brengsek emanng orang kek gitu,positif
tinggal sembuh,netral
coba menigal cantum alamat lengkap nya total masuk tv hitung,positif
moga beli masker sanitizer pikir orang penting cepat sadar malu buat,positif
knp hrs rahasia orang sdh infeksi buka lbh publikasi aja spy kontak langsung langsung periksa tunggu perintah pantau kontak sih pasien sdh infeksi mgkn sdh tular orang krn ga tau kontak orang positif,negatif
lihat daerah bpjs periksa dipuskesamas lihat parah sakit cek apa kasih obat kalo pake bpjs perintah layan padal pasien takut trjadi pt bpjs layan priksa rs kecuali opname padal bayar iuaran takut cek positif takut sebar mohon layan diperbaikimaaf dar info,negatif
pandang spiritual virus corona makhluk keri kasat mata virus corona cipta bunuh manusia sebar udara sebar dunia mati krn virus corona dlm pandang spiritual tulis kode spidol permanen tubuh kode spiritual alam semesta insyaallah selamat dr virus corona virus corona abai krn kode tubuh sdh kena virus corona angsur sembuh dr virus corona bkn hoax tp ranah spiritual ma rifat teliti sesuai nyata fakta nya hati virus corona sulit deteksi gejala krn virus sebar udara smga terhidar selamat virus corona amin group spiritual hening wusul,negatif
klau kayak gin cebong lucknut membully anis ngumpet,netral
minggu udah ngalahin singapur total jangkit,netral
hutung infeksi banding tinggal sembuh gagap nubras nubras akibat sok pd awal istifar astaghfirullah adzimmi,negatif
bosan guepengen umumin menteri sehat,netral
kon melu perintah ae angel eram an gatel i ancene,negatif
jakarta ga lockdown biar cegah,netral
komentar orang indonesia salah berdo a nkri cinta virus cepat patuh intruksi perintah virus sebar mana contoh negara taiwan,positif
trus kalo tular gimana ibadah hibur dsb gimana,netral
indonesia tinggi muslim so takut allah lindung masjid shalat berjama ah masjid dihimbau isolasi bilang tunggu myaho sia,negatif
virus patuh sang cipta manusia patuh pimpin pimpin ridlo ilahi hendak adik kerja jakarta bogor wfh april berani pulang kampung halaman kangen dg ortu lindung ortu usia tt ya tuhan ampun hamba,netral
jakarta kalsu telat cegah nya trjadi wabah virus wuhan,negatif
tambah derita tinggal banyak masyarakat sadar perintah atas korona perintah masyarakat perintah indonesia cocok santuy,positif
peran perintah vital,positif
tolong les sekolah tutup buka les ngajar online kuga les kewalahan overwork area kapuk,negatif
buruk tangan negeri kena virus sdh korban meninggall,negatif
g gejala ko kena virus sih,netral
ya allah byk tinggal,netral
indonesia bangkrut rupiah jungkal dollar tembus rb prediksi rb bursa saham rontok hutang semangkin gunung jatuh tempo investor kabur virus corona semagkin rajalela korban jatuh perintah pusat lambat atas virus korona korupsi semangkin kpk tumpul oh indonesia menteri hubung bilang kena virus corona makan nasi kucing dmn sekarng mungkit maut lg intai ha ha ha,negatif
takut corona alumni kiamat,negatif
wadu angka mati korona dunia tinggi salah satu indonesia ayo kawan rumah aja zona merah,positif
trus isolasi awat nunggu ajal,netral
tinggal tanda kualitas layan sehat sadar masyarakat sehat rendah negara tetangga negara,positif
ajaib obat virus al qur an mari banyak baca alquran insyaallah allah rajaseluruhjagatraya kenan ajaib tuk tangkal virus dngn qur an,positif
beuh udah an infeksi cepat nya,positif
tokoh agama ormas nu muhammadiyah persis ldii dll komunikasi umat sholat rumah tahu orang jamaah masjid uzur syar i contoh spt pahala hitung pahala orang jamaah sholat rumah,positif
yatuhan aja tinggal sedih hidup gapernah tenang,positif
udah ga lockdown ntar hilang tuh virus nunggu aja cegah sembuhin,netral
asslkm wbrkth tinggal sholat jamaah doa orang jamaah lbh doa allah swt smg virus bawa sakit angkat,positif
tolong usaha ayam sop takut kena virus daerah kalimantan timur desa kerta bahakti kec long ikis kab paser dinas kesahatan peduli masyarakt peduli,negatif
masuk kerja pt,netral
bilang orang indonesia kuat,positif
udah infeksi asia tenggara death rate tinggi asia moga selesai,positif
takut korona,negatif
sadar mamen bijak perhati situasi kondisi ingat sehat murah biaya jaga sehat menjahui biaya bikin klenger,positif
rasanyah pulkam takut pake angkut bawa sakit,negatif
mohon perintah sedia alat lab pada ibukota propinsi jd pasien jangkit tunggu hasil lab kirim pusat tunggu hasil makan makassar pasien tinggal hasil lab terima pusat almarhumah positive jangkit corona tolong perhati perintah,positif
perintah rasa betapa dahsyat makhluk mata cipta allah maha kuasa maha virus serang wuhan cina negri bangga boleh masuk tka lazim wisatawan bulan masuk negri pandemik corona telat upaya karna virus sekitar hindar virus renggut keluarga allah maha esa buat minta allah maha kuat allah maha sembuh hindar sembuh virus banyak beristighfar mohon ampun laku dua lupa allah,positif
sja malaysia turun askar orang takut polistidak lockdown rakyat dengar cakap klau keras kepala paksa lockdown sekat sakit,negatif
indonesia persentase ko nya drpd survive nya,netral
mah comen dah toko sepi banget keluar imbang karna bahan bahan pokok anak anak kasi ga masuk sekolah jajan terus sumpah emak emak jerit untung nya sellau doa maha cipta moga corona cepet,positif
untung tinggal kampung aman virus,positif
ketat orang masuk indonesia kayak gin kali undang orang pariwisata indonesia wiwi ekonomi orang dipikirinnya orang suruh stay rumah emang siwiwi kasih makan biar stay rumah,positif
lockdown perintah jiwa positif panik perintah jiwa positif panikpemerintah jiwa positif panik,positif
ya alllah mkn byk sj sakit smoga cepat hilang virus sgt ngri indonesia berjuwang smoga cepat virus amin,positif
lapor provinsi,netral
warga jakarta pulang kampung gmn,netral
bandara indonesia tutup orang negeri masuk indonesia semenjak wabah virus corona turis masuk indonesia akibat nya perintah lamban tutup bandara turis masuk indonesia,negatif
pasar n super market belanja ramai harus pakai masker n penting rumah tugas lapang biar orang taat atur nya tindak dar himbauan aja,positif
bingung yah berfikirnya udah rencana kalo berat taro rumah sakit perintah terap kalo isolasi rumah positive positive orang penting sampe kalo dikit semuuuuaaaaaaaaaa karantina pdp positive karantina kalo dikit sampe nyebar bayangin italia jan positive tinggal dunia positive tinggal indonesia maret positive tinggal dunia ga lock down daerah epicenter jakarta nyebar daerah gmn,negatif
jakarta lockdown sajah,netral
odp pdp bukti perintah becus,netral
solusi boss biar minimalisir byk mninggal drmh trus iy solusi tp sdh kena positif corona ahli bs tinggal orang miskin dmnkah titik dlm sistem indonesia malaysia total ribu tp meningal bs tahan,negatif
tolong perintah perhati warga tida tinggal kati polisi pol pp tni bantu patroli awas liar,positif
sya udh gari flu batuk priksa dokter tp bingung rumah sakit layan gejala covid,negatif
asa virus kayak momok takut hantu masyarakat jadi masyarakat panik kalang kabut alhasil cari masker cari anti septik cari borong bahan baku makan dll hadap tenang panik makan sayur sayur minum air putih olahraga rutin jemur menit jam insyallah sehat,positif
jawa timur jagan jawa begutu jawa barat vs jawa jawa timur jawa barat benyeberan provinsi cepat ad kota contoh sby masuk sidoarjo begtu lbh fokus penangananya saran sih smua rakyat indonesia,positif
mobilitas kota jakarta sulit henti cepat sebar,negatif
rumah sayang nyawa tahan rumah isolasi takut lapar miskin tuhan rejeki hamba nya,negatif
sebel td paksa pasar bahan makan abis pasar hindar dr rame beli sayur beli tempat blm bel udh smp segitunya eee parkir nunggu istri belanja kali tutup parah ludah sembarang pdhl situ kanan kiri orang jarak dr meter aja jengkel tp samping santuy bngt kaya mngkin sungkan negur tp spt hrs wajib negur kanan kiri dr aja gemes bngt ken negur tp dibolehin suami takut ribut huh masyarakat tahu kaya an cepat musnah virus biar isa pulang kampung,negatif
kadang bingung kadrun pas corona indonesia bilang azab rakyat china,negatif
lawa lucu lucu mikiiirrrr,positif
klw perintah d usahak tki tkw mw pulang k indonesia d karang tina sebar utama dr tki tkw pulang dr negri stop orang asing masuk indonesia,positif
ikut teori probabilitas kerumun peluang penulularanya inkubasi mudah meta mudah penangananya mari sadar tinggal rumah putus mata rantai sebar moga atas,positif
toyota corona,netral
teman teman bantu perintah stay rumah giat masker alat cegah partisipasi efek indonesia moga cepat berkahir,netral
kpn kena lngsung bnyak y allah,positif
bikin atur indonesia dr sudut pandang orang miskin tegah orang kaya utama orang miskin gimana dampak udah masyarakat tengah orang kaya banyak salah jabat mah lihat dr sisi aja udah gaji bulan juta orang miskin hariaan ndak lockdown alangkah baik liat sisi,positif
,netral
aduh sulit masyarakat desa anda perintah isu virus corona d daerah asia tenggara perintah antisipasi tes mo masuk k indonesia hasil tes corona kluar d siap ruang karantina husus dy steril berangkat perintah indonesia negri isolasi tp tetep kerja sosial seniman gk kerja gk duit tp ekstra mawas tetep usaha layan customer jasa,negatif
tolong buat info kena tahap sampe sembuh tindak cegah,netral
sakit minggu makan kerja makan gilir sakit uang iklas biaya sembuh nya sampe pinjam,negatif
depan udh ribu,netral
salah perintah laut dukung perintah like,negatif
sakit flu batuk aja sya tahan sakit kalo corona suami hotel karyawan hari sdh d rmhkan krna hotel trs rugi kalo corna jga obat nya hotel tutup karyawan rumah hidup bsa tahan lapar anak beli masker harga mahal beli beras beli masker mati krna lapar beli beras mati krna corona,negatif
ya trmksh sunggh sngt jlas appn telh bicarakn semog brmnfaat hilang alloh mnyabut sakit vros amiinn,positif
ya allah lindung ya allah semga nya aamiin dlm lindung warga indonesia aamiin,netral
indonesia rakyat kebal kebal omelin kebal nasehat,netral
prnh salah perintah gamau trjdi,netral
sgt byk cepat kshkak obat byk tinggal kagak mana,positif
ya allah ampun selamat saudara saudari dunia moga dunia,netral
nambah korban obat kacau kacau,netral
bntar hu kalo nih rasa ngapain publikasi nih ama perintah,netral
maaf pa ga orang karna kerja sbgai tukang cukur rambut pa mohon cerah nya,negatif
hidup indonsia bangsa sesak aja mata duit serakah sda lengkap tp miskin,positif
malaysia skrg udh parah makan nasi kicap manis parah,positif
dilockdown rakyat ngak dalam rumah serba repot kayak negara rumah pake masker tuju melangar denda penjara indonesia ngak,negatif
yaallah indonesia banget tinggal,positif
diem rumah woy diem,netral
klu indo data publikasi tambah hari klu cina berita dah stabil tp orang pusat dr berita dr cina pinter kondisi stabil parah stabil orang dengar jd tenang lempar tanggung klu virus parah virus dr cina moga wabah,positif
corona islam jabarian qadarian jabarian nya allah manusia terima aja beriktihar usaha islam ajar allah izin laku akal beriktihar usaha allah sungguh iktihar sungguh allah maha kalah hendak makhluk cipta nya qadarian manusia hak atur campur tangan allah allah atur tawakal allah azza wa jalla wajib beriktihar usaha akal sungguh allah azza wajalla urus like suka ya,positif
lanjut jokowi silah masuk keindo tuk buzer lupa bully anies baswedan,netral
tunggu ajaib moga cepat temu vaksin ampuh lawan virus bajing,positif
jadi film contagion virus sprt corona asal cina nyebar negara gejala orang dngn sengaja wujud jadi sprt film krn kacau dunia,netral
kadang lockdown gin suka kasihan orang kerja serabutan hari ga ga dpt uang aja tukang becak jual pasar dllmana barang pokok,negatif
indonesia rakyat kebal,netral
udh sihhhh lockdown ajaaaa cm jaga jarak ngga bisaaaa,netral
jngan bpjs duit aje kagak gablek gue apalgi kalo sakit musim virus gin moga sehat semue,negatif
waaduuuhhh nambah teruuss teruus teruusss ya allah tolong,netral
penangananya bgt curiga langsung tarik isolasi nang taiwan ketat jurigai langsung isolasi g pandang warga aman rs cek g tunggu tes nya positif negatif,positif
rs medis kualitas,netral
kendali virus indonesia rasio mati,negatif
jokowi is the best,netral
harap perintah indonesia lockdown kacau lainlebih cegah obat sekala,netral
indonesia tinggal inalillahi wa inalillahi rojiun,netral
ya allah,netral
moga meni kasih,netral
knock dr survive tanda tanda pro player,netral
serius nanya kalo lockdown diapain sihh rial teriak lockdown kalo lockdown malem malem kelilinh naek motor nyari nasi goreng nama lockdown,negatif
kurir dr salah ekpedisi indonesia smpai msh paket kirim dr cina negri customer pnya paket takut mnerimanya takut smpai blum bagaiman kontak mmberi paket,negatif
perintah harap social distancing tpi g lockdown ya logika pikir diam rumah orang kecuali tabung ya aja tpi g makan lockdown puruk tpi gimna lgi klu hambat ya g pilih kecuali tes massal cepat ya tampa lockdown kitabbisa tekan sebar,positif
saran yahhsering berwudhukalian lihat warga islam wuhan jangkit corona warga islam wuhan tenjangkit corona,netral
koment nyimak isi berita welcome to indonesia,positif
takut papa virus corona takut corona,negatif
tenaga medis jug sedia bandara orang pergi kluar negeri biar kena deteksi din,positif
ya alloh cepat tarik pasu selesai tugas mahluk ciftaan mu corona lindung orang orang mu min mu minat muslimin muslimat ya alloh corona virus diciftakan mu taubat beri hidayah taubat jalan perintah ya alloh amin ya robbal alamin,positif
banyak konferensi pers ngomong praktik ny ga sesuai perintah abal abal,positif
test virus corona bayar juta d pandemi sebar luas msih orang orang ambil untung,netral
