Username,Comment
Ridwan Nasir,Malaysia 500 lebih kasus langsung lockdwon
Nadia Kertosono,Yang punya duit ayo Abidjan buat beli masker
Tian H,"Kematian akibat covid 19 d asia tenggara no 1 Indonesia 😢, Malaysia dn singapura gak separah ini korban meninggalnya 😢"
Apip Sdc96,"SETIAP PENYAKIT PASTI ADA OBATNYA.. mudah2n masalah wabah ini bisa segera diatasi, segera berakhir.. amiinn"
Elisabeth Natalia,Makasih pa.. Bapa jaga kesehatan pa.. 🙏
Wisma Desu,siapa yang disini lagi batuk😂😂
arthyani a`aisyah,Astaghfirullohal'adziim... Innalillaahi wa inna ilaihi roji'uun...Ya Alloh semakin hari semakin bertambah.. Keep stay at home.. Klo bisa perusahaan-perusahaan juga kerjasama lah sama pemerintah buat memperkerjakan karyawannya dari rumah aja.. Atau dikasih libur parcial buat menekan angka penularannya..
setiadji mideadps,Siapa disinii yg lagi sesekk nafass ??
Hjh Nr,Inalillahiwainailaihirojiuun .Moga khusnulkhotimah .
Pengajian Wonosobo,Kalau minum vit c gimana?
Nopi Ariani,Kalsel 1 😭😭
Indah Dewi,Berharap... buka yutub .. yg terkena berkurang... malah bertambh.. 😫😫😫
Anti Communist,Buset itu yang meninggal banyak banget walaupun kasusnya cuma 500an.
Sari ngdak,Ayo.. Warga +62..jauh kn rasa ego.. Lebay.. Ngeyel.. Sok tau.. Jaga kebersihan.. Taati peraturan pemerintah.. Demi mengurangi epidemic corona🙏🙏
Harry Ismunandar,Pejabat kencing berdiri. Rakyat kencing berlari.
Anet Lestari,"Sayangi diri sendiri dan keluarga kalian, di rumah saja.."
Shin Shin,Hehehehe bapak Mpon - Mpon neh bukan kaleng kaleng bro😅😅😅
angeline lou,Hi must under the sun ☀️
LUMIBA. Channel,AsstagfirullohKenapa makin banyak?? 😭😭
Rumantibutarbutar Rumanti86,Setidaknnnnya ada yg bisa sembuh
Arine Lestariningsih,Pak yg tgl 23 blm update
Tri Haryono,"Yg sangat menghawatirkan pas arus mudik,bisa2 yg di kampung jg kena imbasnya.smoga sebelum bln ramadhan virus ini lenyap ya Allah🙏🙏🙏🙏"
Tri S,"Pada bandel, sudah tau tp tetep bepergian, klo kena pemerintah yg disalahkan"
Uji Hariningrum,"Stay safe semuanya, semoga cepat membaik seperti sedia kala.."
agna bi,"seleksi alam, yang kuat bertahan yang lemah habisambil hikmah nya"
Muhammad Khairil,mari rame rame kita doakan smoga korona hilang sebelum ramadhan Aamiin
WRG,Gimana mau ngurus Corona ngurus masker n sanitizer aja gak becus
Lamborgini arie,Y Allah...semoga cepet berlalu...bp tolong ..gula pasir  yg kemasan  ko  nyarinya susah y...smnjak d corona
cut setia,"Selama Bandara&Pelabuhan Masih menerima kedatangan orang baru dari china,Corona tak akan pernah lenyap dari bumi Pertiwi.""jangan korbankan kami""!!"
Tutibay Star,"Indonesia udah garis merah,,"
MARSEL RENALDI,"Di Malaysia yg meninggal dikit , di indo lumayan banyak , kuarang.a alat apd barang pada mahal , sudah biasa , 😌"
you tubers,"Anying,orang disuruh gini gitu,dibuat panik tapi org luar dikasih masuk,suek lu,anying"
Yanyan Zainul Anwar,Harareboh lah corona corona....Mun ceuk allah keuna rek ngaromong naon.. Rek make masker 10 rangkep ke make hand sanitizer 5 galon ge ai geus waktuna keuna mah nya keuna we..
Nuno Zzz,Bapak yg Terhormat tolong di lihat Pengguna KRL pada saat jam berangkat dan Pulang kerja Tolong beri kebijakan yg lebih baik
Adpin Bengong,YANG TEGAS DONG PAKKK
sherly agus,Negara primitif lawan virus modern
Kopi Item,Sekolah2 duluin pak...
Hananabdull -,"musim hujan, kehujanan  gmpang kena demam,, hati2 jaga kesehatan"
Qualitylife Young,Stay at home thanks bapak ....sehat selalu...
Bambang Wahyudi Yudi,Semoga yg sakit segera disembuhkan dan yg sehat tetap terjaga kesehatanya. Mari bersama sama disiplinkan diri
Uul Kikik,"Makanya kalau sakit ke rumah sakit, malah ke paranormal"
Adi Bae,Saran klu bs pemerintah bagikan masker gratis buat semua rakyat nya..karna itu sangat dibutuhkan saat ini
Yuyun Mintharini,Sampai kapan corona berakir saya mendoa kepada allah agar corona dihilangkan dimuka bumi ini biar manusia bisa aktipitas lagi amin ...
priyo sugeng,"Diuji kuatkan hati menahan diri... Semoga mereka yang keluar rumah demi kehidupan keluarga selalu mendapat lindunganNYA.. Amin.. Selalu pakai semboyannya truck gandeng.. "" Jaga jarak """
Mohamad Aprizal Tri Warhamdi,"Kadang kita udah melakukan dengan bener (ikut program Social Distancing), eh orang lain menganggap sepele.Salah satu contoh aja, pernah belanja kebutuhan pokok di minimarket, saya udah pake APD dan melakukan Social Distancing, pas antre mau bayar, eh ada beberapa yang nyerempet deket-deket, mau negur yang ada saya dibilang ""LEBAY"""
MOONRAKER BDG,Kenapa ga lockdown?
Muhsin channel,Gimana caranya berakhir ini Indonesia tidak badengardan tidak ambil pusing masyrakatnya .... bahkan tidak sakit positif Coroona berbaahaya banget bro
Fitri Alfiani Halimah,"Assalamualaikum...Sebenarnya covid19 (Corona) sulit masuk di Indonesia,tapi mudah juga masuk karena orang yang sering keluar negeri dan membawa wabah itu masuk Indonesia, untuk Mentri kesehatan tolong obati dgn Vacsin(imunisasi) Krn dampak kebalnya dgn virus"
Bang Jak Tebet,Menteri kesehatan kemana dia?? Biadab kenapa kamu gak ingatkan kami saat awal2
Putri Evi,Bnyk yg jdi penjual dadakan masker dan hand sanitizer jadi harga tdk stabil naik berkali-lipat...
Deri Heriyanto,"Ayo saling support & kooperatif buat warga Indonesia, stop saling menyalahkan karena enggak akan menyelesaikan masalahDan jangan lupa berdoa supaya kita semua bisa melewati ujian ini, amin"
Ales Sultan,Ya Allah....selamatkanlah negri kami dari bencana wabah penyakit yg menakutkan dan mematikan ini ya Allah...Aamiin
PMT Tylee,ini belom tes masal ya. kalo udah tes masal gua yakin bakal ngejar posisi italy. mengingat kelakuan warga indo yg pada ngeyel dan ga mau di atur
Esok,"Makasih bapak sudah mengupdate terus info terbarunya, smg bapak nya tetep sehat, d jauhkan dari sgla penyakit, smg kita smw juga d jauhkan dari sgla penykit, yg terkena smg lekas sembuh, sehat lagi 😭🙏🙏🙏"
Denny Purnomo,"ditangerang masih bnyk yg keluar rmh..di tegur malah galakan dia, dgn alasan financial.emng luar biasa warga +62 gk ada takut2nya 😅😅 apalagi klo urusan nya soal dapur"
Bot Spc,Assalamualaikum... Gimana  cara pencegah melakukan hujan buatan yg di isi dgn pembasmi virus itu.. seperti contoh Indonesia saat dilanda kekeringan waktu itu mereka melakukan dgn penaburan garam di awan² supaya terjadinya hujan buatan
Penonton,"korban nya kok langsung meledak gini ?bukan secara bertahap .tolong orang2 yang kepala batu , segera sadar lah kamu."
ikan cupang pangkep,Tolong di tes buah pohon ketapan apa bisa dipake obat virus corona
Yuri Tutorial,Allahu akbar.....!!!
Willy Willy,Kenapa indonesia gak lock down?
Korean Indonesian Couple,"Ayo kerjasama semuanya, pemerintah jg sama pusingnya. Kita diem di rumah aja dulu biar sedikit penyebarannya. Sehat2 semuanyaaa"
GadgetFAM,"Indonesia masih darurat kesadaran, jdi ginih akibatnya,, , pada nuruti pemerintah bentar aja apa susah nya sih ??"
Nanang Kurniawan,Sebenernya penggen nghindarin alias waspada.Ini peemintaan masrakat yg mempunyai sangkutan denggan bang bisakah cnn menyapaykan ke pemeeintah untuk ditangguhkan selam satu bulan..
Fachrul Rozi,"Semangat pak terawan, ini adalah hasil lalai dan meremehkan anda thdp wabah sejak awal,tanggung jawab ya biar nanti kena reshuffle aja 😊"
Agus Sunarto,"Gimana  nih yg krja harian,,, nganggur lg. Gak mkan. Mati jg. 😢😢"
husni Mubarok,Sekarang kagetkan?
Short,Terimakasih pak Yuri
ADZL G,Yakin gw yg positive udh lebih dari 514 kasus cuman belum sadar aja yg terjangkit virus tersebut
Jaidi Norhani,Di malaysia masih ada segelintir keras kepala...sekarang tentera yg di kerah
spoonge bob,"Kalau 2x pemeriksaan dinyatakan negative,  berarti dia memang tidak terkena covid19,bukan sembuh!! Jgn Bermain angka lagi.. Kasian rakyat. Makin banyak virus yg masuk ke indonesia nntinya.."
Prayogi Wibowo,Ini resep obat virus Corona:KAPULAGA 250 gramCengkeh 100 gram
rico raikkonen,"Klo d Jakarta bs memanfaatkan wisma atlet, mgkn di daerah2 lain bisa memanfaatkan asrama2 kampus dan GOR setempat utk ruang isolasi jika yg terpapar virus melebihi kapasitas rumah sakit...."
Pampam game,Mudah mudahan cepet kelar lah biyar gw bisa bisa bebas lagi
Muhamad Fahrie,"iya pak kami rakyat yg hidupnya paspasan gimna klo gk ikhtiar sehari aja,bingung mikir buat keperluan hidup."
Rofi channel,👍👍👍 semangat terus pak 🙏🙏🙏
Adpin Bengong,Banyak banget yg MATI
Cristal,Kesadaran masyarakat yg kurang dlm arti ada gejala segera memeriksakan diri dgn catatan tersedianya alat test covid19 di tiap rumah sakit daerah....tirulah warga Korea Selatan tanpa lockdown tapi rakyatnya kesadarannya tinggi....sekali lagi partisipasi masyarakat sangat penting agar penanganan wabah ini cepat teratasi
Rifaldhy Adhy,"Jalan2 ke perusahaan di Morowali pak, lihat bagaimana setiap harinya kami karyawan berdesakan di dalam mobil angkutan karyawan... Yang dimana di dalamnya kami di gabung dengan pekerja asing ..."
Tia Nanda,😥😥😥😥😥😥
Mbah Bondet,Indonesia hancur karena...Kesombongan komunis Corona Wuhan.
b31ds save our nation,Bisa bilang hati hati yg terlihat sehat tapi sdh terinfeksi...mau ngetest gmna...bnyk ngomong dan dan cerita yg indah....action...ke masyarakat NOL.....smp skrg..masker aja..susah...disinfektan aja...mahal...hebat pemerintah kita....kalo dijadikan sinetron..mgkn rating tinggi
Debiirawan Ptc,"Tu akibat pemerintah tresing2 Mulu menggap remeh,tp pintu msk negara di buka lebar2 demi mencari wisatawan,data di tutupin,korban positif GK ada data perjalanan ya jdi rakyat GK tau dia kemna aj,kl korban udh ribuan mana BS di rawat lagi,GK ad petugas ,alat dll,korban yg positif nnti mati tanpa pertlongan,akhir ya rakyat juga jdi korban ya,"
Demon King,Dari pertama ..semuanya mengagap remeh .menganggap enteng .. ketika sudah banyak korban yg meninggal dan terkena corona makin banyak baru pada sadar diri..
Jocelyn Felicia,"Disuruh diem dirmh, mending Lockdonw aj..jgn nyalahin bisanya, jgn nnti ud beribu2 bru Lockdonw.."
Aditya satria,Bagaimana kalau org miskin pak?
mm rita,Intinya ihtiar dan berdo'a..
Elix Duha,"Mudah2an teman saya baik2 saja,TDK tertular.hari ini bertemu di mall dgn dia,kondisinya demam,mual,batuk dll.kantornya langsung suruh dia balik."
mawar biru,Ya Allah Amba mohon Hentikan lah  virus Corona yang melanda di Indonesia 🤲🤲🤲🤲😭😭
Rebel Ronin,Kenapa fatality rate covid 19 di Indonesia tinggi banget?sekitar 9.3% (48 dari 514).
As Q,ayo warga +62 bebergian seperlunya .jangan remehkan penyakit ini lihat negara italy ...
Gisella Laurensia,Klo mengisolasi dri..trs gmn dpt pengobtanya
Qitho Andhit,"Sebenernya gak ada yg sembuh (obatnya aja blm ada)Cuma pas di cek gak ke detek Trus di nyatakan sembuhPulang kerumah nyebarin virus ke orang""yg daya tahanya lemah lgsg sakit..."
Adnaweoy Utser,"Assalamualaikum buah mengkudu+jahe+bawang putih... Mohon di buat percobaanPerasaan saya sangat kuat untuk resep ini,,, dan saya bukan ilmuan,, saya harap para ilmuan bisa membaca dan mencoba wassalam"
Joe Mary,BINGGUNG MAU KOMENTAR OPO. HAHA
putra jaguar,Selain dimedsos harus pula di tegaskan di lapangn karna masih banyak masyarakat yg ngeyel..
Anita Yosi,Awal virus itu dari mana..
Politik Cupang,"Menjaga daya tahan tubuh ga bisa secara instan, virus bekerja dalam tubuh  2minggu setelah masuknya virus dalam tubuh. Ini penyakit atau azab ya robb? Ngeri amat yak😭 🙏 ampun ya Allah, ampuuunn, tanpa menunjukan ke Maha ESAan MU, hamba sudah sangat percayaaa."
Alfiah Solikin,Tolong harga masker normal kan lagi ..kasian yg gak punya uang.
Qory Valiandre,Virusnya dari cina alatnya dari cina.😰
diyem markum,Siapkan strategi oenyembuhan pak setelah tresing dan pengetesan masal. Karena obatnya sudah disiapkan.
Nasabah Mokong,"Mana nih ilmuan Indonesia. Buat virus tandingan dong, yg mampu membunuh Corona.. jadi tinggal sebar aja virus tandingan Corona hilang"
Abidzarmanaf Abidzar,Mohon cek corona di sulsel sudah banyak banget.
Hawa Rasta,Klo udah waktunya mau sakit mah sakit aja
Siwu Project,Sumatera selatan ?
FAST,"Gimana ga banyak korban jiwa, Orang mau beli masker aja ga ada,,Seakan2 mau membunuh rakyatnya sendiri,,Buat yang nimbun masker"
Hardin Junaedi,Lebih banyak yg mati 😩
Curly,Lebih dr 500 ini mah
yuli yanto,"Jangan mengharapkan orang lain,jaga dirimu sendiri"
Andrew White,Terkutuklah kalian para penjual masker dll pada saat ada wabah mengambil kesempatan dlm kesempitan   adalah Pembunuh
syafira putri,Ya allah sya cmn minta turunkan harga masker kasian yang gk mampu beli gk bisa waktu pas belum ada virus corona harga masker biasa saja seribu aoa dua ribu tolong donk negara Indonesia hidup sehat bersama sama kalo kaya gini harga masker naik mkn virus makin menambah kalo pertanyaan ini bnr tolong like biar manusia yang juak masker mikir kita harus sehat bersama sama
Iqbal Galib,"1. Pandemi berarti tersebar luas (tentang penyakit) di suatu kawasan, benua, atau di seluruh dunia.2. Wabah dalam KBBI berarti penyakit menular yang berjangkit dengan cepat, menyerang sejumlah besar orang di daerah yang luas (seperti penyakit lainnya misalnya wabah cacar, disentri, kolera).3. Epidemic definisinya dalam KBBI adalah penyakit menular yang berjangkit dengan cepat di daerah yang luas dan menimbulkan banyak korban - misalnya penyakit yang tidak secara tetap berjangkit di daerah itu."
syamsul ma'arif,lock down lah
Suryo Bowo,"Kok Tambah Naik terus,,   Tapi nggak usah  panik,  Jokowi sudah membangun Rumah sakit khusus korona di Pulau Galang,  Batam,"
Bez Gaming,"gimana mencegah coba?? gwa mw beli masker di setiap apotek aja kgak ada, sengaja ditimbun biar warga +62 pada mati semua, bngsat emng itu pra penjual masker yg sengja nimbun. Tolong pemerintah harus bersika tegas dan beri sangsi pada para penimbun masker dan juga yg menaikan harga masker !!!!!!"
angga satriawan,yang penting kita harus jaga kesehatan
Forex Indo,sekarang keteteran dulu waktu virus lagi buming santuy pemerintah anjay bukannya lockdown sekarang baru lock down begok gak becus
Gaara Ramdhani,ISOLASI DIRI .NGOMONGIN BUAT SIAPA?KALO RUMAH UKURAN 3x3 meter isi 3 orang? dengan rumah berdempet satu sama lain?
212 brrr,Gmna ne tmbah lama tmbah bnyak aj...marila patuhi aturan dan kbersihan masing2
willy chou,Agus P = semua karna DOACovid-19 = 🥱 lets try your country
Talita Azmi,YaAllah semoga virus corona hilang sebelum ramadhan dateng Aamiin😊
Hafid H,"Masyarakat indonesia : Di ajak lockdown pada di gunakan buat liburan,di gunakan buat nongkrong,buat keluar main2 ntar giliran kena teriak ini gara2 pemerintah,ini semua salah rezim,ini semua salah jokowi."
Um Saad,Inallilahi ikut turut berduka bukan membaik tapi tambah parah
jkp ilve,"Ya alloh kok trus bertambah,semo cepat musnah virur corona dari muka bumi ini biar tidak trus bertambah korban dari keganasan virus ini aminnnn"
rahman rianto official,Cari masker dan sanitizer aja susah. Chek dong kelapangan bos
Wiwik Sofyani,Diam di rumah Diam di rumahDiam di rumah Diam di rumah
Alindra Evandra,Stay at home&stay safe
HEX,"Nah kan sekarang baru pada takut, kemarin ngomong apa? Korona kok takut, Allah gak takut. Halah bacot akhirnya takut kan? Korona itu turun dibawa sama Allah sendiri, sudah dikeluarin fatwa MUI masih aja ditentang memang yah agama tanpa ilmu hanyalah omong kosong."
Hidayah Moeneer,Masyakarat kurang sadar kasihan pemerintah.. kasihan tim medis
SERBA SERBI,"Masa penyisihan, yang berpihak sama kejahatan bnyk yg tersikirkan"
Denis Kuncoro,Pak jokowi lockdown
gunawan Safar92,Tess masallnya gratis atauuu.  ????
avi dewi,satu minggu lagi d atas ribuan😱..virus corona menyebar dengan cepat sedangkan warga indonesia masih leyeh2 dan meremehkan corona.semua serahkan pada yang d atas dan terus berdoa🙏
Jitu Halomoan Lumbantoruan,Tiap hari menghitung. Jgn haya dihimbau Pak..Lokdouwn saja dlu. Jgn setegah2..jgn blg semakin hari semakin bagus..org jumlahnya makin nambah yg kena. Astaga...tolonglah Tutup.
Glen Jantje Jonathan Runtuwene,hehehehe bpk bicara kayak ahli aja...padahal juga baru belajar
Slamet Triadi,Bagi2 masker dong
Dwi Putri,masyarakat udah mulai mengikuti anjuran pememrintah untuk stay at home - tapi untuk keperluan diluar rumah yg penting akses mendapatkan masker sangatlah sulit
sandung lamur,"Lihat positifnya, ada perlambatan penularan, kemarin nambah 81, sekarang cuma nambah 64, semoga terus melambat dan akhirnya berhenti, amiiin.."
Allen Prakoso,Corona tumbuh dan berasal dri mana..  Kok cm di diamkan
Cristal,Akhirnya virus ini menyebar dengan cepat dan masifSudah sangat sulit untuk membendung laju penyebarannya apalagi lewat lokal transmisikalau sudah begini pasti pemerintah sangat kerepotancara apalagi yg akan ditempuh untuk menekan penyebaran virus ini
꧁Hanz ꧂ 01,Hidup di dunia itu cuman 1x kalo sudah mati tidak ada kehidupan lagi mangka Berpuasa lah insyaallah segala Penyakit di sembuhkan Allah SWT dn  jgn lupa kan Sholat Dgn Shalat Dgn Berwudhu lh kuman² itu di bersihkan Dn Jalanni Hidup Sehat insyallah di lindungi Allah SWT... AMIN
Mahe 99,"Tetap jaga kesehatan gaes , jangan takut pada virus takutlah pada yang maha kuasa."
Agus DwiYandoko,Masih gak secepatnya di Lockdown?
agus andrianto,case 514 mati 48  tingkat kematian tinggi 10 % lebih ...bukanya gak percaya sama dokter cmn asumsiku penangananya kurang memadai dr alat kesehatan .
Lala Lila,Di kampung weekend ini malah pd rame2 ngumpul dengerin lagu bareng2 nyanyi 🤦 besok mereka pergi kemana2..siskambling dibikin lgi dri tiap RT/RW ditindak tegas & buka hotline dimana rakyat bisa bikin laporan utk org2 terdekat mereka yg masih 'cuek/nakal' jalan2 nongkrong dllKyk gini kok minta lockdown org2 nya diminta stay di rmh aja susah habis itu komplain & nyalahin pemerintah
N Khustik,"lok down aja , dr pda telaat pak"
pri yono,Pemerintah terlambat menanganj
Blikur Marmer,"Warga indonesia sangat bersemangat sakit kayaknya, di liburkan suruh drmh malah liburan wkwk"
Aris Son,Bener g sih corona awal virusnya dr kelelawar?tp kok g ad y kasus kematian kelelawar
Eghi Supriatna,Masker susah di cari handsanitaizer harga y selangit.... mana bantuan dari pemerintah.
kajian sunnah,"seblum puasa tiba, lebih baik secepatnya lakukan Lock Down demi umat manusia,"
Nurega NEET,"7:53 ""Screening"" bukan ""Skrining"" @CNN Indonseia"
Putra Tani,Malaysia udah lockdown... Mongolia ada 1 kasus langsung lockdown
Rio Pamungkas,"Pertama saya demam dan sakit tenggorokan, besok.ny saya sehat tdk dwmam dan sakit tenggorokan, tapi hanya batuk ringan dan sedikit berdahak, apakah saya terpapar virus corona,?  tolong info yg punya pengalaman 🙏"
Cewek Gaming,Cepet banget 😔
Selvia Fatimah,Menurut saya di setiap daerah atau kelurahan di adakan cek kesehatan kepada masyarakat makasih.....
JEY,Saya harap terus nambah sampai teman saya yg ga bisa diomogi ketularan
Mj Mu,Batuk berdahak same tb
Nuraini lanjengdis,Hebat tanpa teks.
Koplak Chanel,Serem bro angka kematian nya padahal baru awal2 ini bisa di bilang
TUBE Lucky Survival,Mari dukung himbaun pemerintah.
Erick Purnomo,Jngan biacra lockdown2..Skrang blum lockdown mari jaga diri untuk tidak kluar rumah...untuk mngkrantina diri..Yg bicara lockdown blum pernah dikurung ya..!!!malaysia yg blum lockdowm total..bnyak wrganya yg ngluh gx bisa kmna2..
Risky Raditya,Bpk Achmad yurianto terimakasih buat dedikasi nya semoga bpk sekeluarga di lindungi oleh Allah amin 🙏🙏🙏Semoga seluruh masyarakat Indonesia sehat walafiat amin 🙏🙏
Arif sky,Lockdown jalan terbaik...
Joe Mary,KENAL YANG NAMANYA ( PARNO ) GK????
ΜŘ βΔŦΜΔŇ,Klo jumlah kematian udah tiap hari berarti yg kenq corona udah ribuan di Indonesia ☹
Holifah Islamiyati,"Banyak yg terdampak virus covid19 tp hanya muncul gejala ringan. Jadi takut pulang ke rumah, takut jadi carier nularin ke keluarga. Semoga kita semua diberi kesehatan oleh Tuhan🙏aamiin"
Dendy Bagas,Kerja gk boleh libur gimana nihh
dikin jr,"Orang"" haram kayak gini bikin pemerintah susah aj  Udah tau d luar negri ad virus corona masih aj pergi kluar negri  Sekali balik bawak virus nya bikin resah aj kalo udh kyk gini kyk mana cobak  Baru ngeluh smua ajir lah"
Pai Po,Jangan takut dengan corona kita seharus nya takut dengan allah swt karna ini mungkin adalah teguran bagi kita
Raka Panji Wibowo,Besar banget rate kematian indonesia
superhero Geming,"Jujur,, sebenernya penanangan covid-19 di Indonesia sudah sangat terlambat,kenapa saya bilang terlambat?, karena sebelum Indonesia terjangkit tidak ada responsif dari pemerintah untuk menindak lanjuti kasus virus ini,bahkan ada waktu 2 sebelum Indonesia terjangkit,virus di negara lain saja sudah merebak luas, tapi Indonesia malah lebih mengedepankan ekonomi daripada kesehatan rakyat,apa susahnya si nge lock down?,ga ngalahin pemerintah juga si,tapi sekarang ini adalah tugas kita bersama untuk memutuskan penyebaran covid-19 ini supaya tidak merebak luas,"
zacky alqoruti,"Orang china di majalengka jawa Barat paling banyak... Kemarin kata tv suwasta... Biasa"" aja gk di isolasi😁"
"i love play piano, guitar, singing too",🧐
Becoming☆humble,Hadhuhh...indonesia msh REKOR ??Norway  21 maret '20Positif      = 2.188Mninggal  = 7
Cipou La,Setengah setengah.
Debiirawan Ptc,"Pemerintah lemot,rakyat ya GK bs di atur,"
Zaid Ubaidillah,Kami butuh masker.
Fany Hapsari,"Masyarakat ayo lah bantu pemerintah dan tenaga medis, cukup ikuti aturan pemerintah. Simple demi kebaikan semua masyarakat,keluarga temen"" dll. Semoga semua cepat memulih, Aminn🙏"
Laut Biru,"Benar benar ancaman serius wabah virus Corona ini, jumlah kematian lebih banyak dibanding kesembuhan.. Jika tidak segera cepat diatasi wabah ini akan menjadi sangat serius dan merupakan kiamat kecil bagi dunia ini.. Wallahuallam..."
s amien widodo,"Dont panic dan jaga kesehan, jaga jarak utk berkomunikasi dgn org lain. Semoga warga indo sadar dan tdk menganggap remeh virus ini."
Rian Songgo,Bulan depan tuntas semua
Rachmat Hidayat,Kantor swasta masih buka pak bagaimana caranya bisa menghindari virus corana mohon di sampaikan kekantor pusat
Mr gede Ombo,Kabar gemiranya kapan?? Malah berita mulu. Tundakane pie???
Rahmah Lila,Saatny JokowiBiktikn kPiawaian mnyelamatkn Warga Negara..mNepati Janji dgn bMANFAAT Kartu yg di Bagikn
Oogenesa Situlambenan,tiap hari makin ngeri ya
Yusra Ayuandira,Diam dirumah lihat anak ga makan bisa pak?? Intruksi tanpa solusi !! Negara yg sibuk dengan kepenting masing2 ..inisiasi yang disampaikan hanya untuk kalangan menengah keatas!! Coba lihat kami yang suaranya di paksa untuk diam.sedangkan diam kami menghadirkan kelaparan untuk keluarga kami!! Masker aja sudah ga sanggup kami beli pak!! Harganya yg selangit!! Boro2 handsanitizer!! Belm lagi nasi untuk bisa anteng dirmh!! Terlihat sudah Bajwa bangsa ini bukanlah bangsa besar!! Karena tidal mampu memberikan sesuatu untuk rakyat nya yg membutuhkan dalam situasi seperti ini!! Bangsa ini dari dl memang suka menghisap darah bangsanya sendiri!! Dimana letak kebanggaan sebagai bangsa Indonesia lagi!!
I komang Suma,Pray for word 🙏
anita zean,bismillah...Datangnya wabah disebabkan krn kemaksiatan yg sudah dijalankan dg terang2an....wabah ini sebagai peringatan kita smua...jgn pernah berfikir jika bwt dosa...cm ente yg tanggung akibatnya...tp kita smua bs tanggung akibatnya....ayuk mulai bebenah diri bebenah hati bersama
Vitalia Sheza chanel,Kenapa di daerah saya gak ada himbau an sama sekali
Dwi Syahputra,"Katanya Corona gak berbahaya, bisa sembuh sendiri, jadi tenang saja gak usah panik . Tapi kok lebih banyak yg mati daripada sembuh ? Jiwa manusiawi ku bergetar."
Wawan Kurniawan,"Masker,sarung tangan,handsanitizer..di daerah langka...bagaimana kita mau mencegah...dgn kelangkaan itu kami resah...tolong diberi jalan keluar...jangan cuman himbauwan."
Kahar Syah,Itulah orang indo .. pada sok sok an .. malah dibuat lucu2an.. udah kenak baru kedjang2 ..
Abrar albani,Indonesia terlalu santuy....saking santuynya saat pada dunia panik..Indonesia malah piknik wkwkwkwkwk...masyarakat yg salah pemerintah yg dihujat
Jojo Lorenzo,Pak pak   kita doa kan saja semoha sembuh 300jt jiwa.......  Mati 0
Nguyễn Phương pham,Sama kayak amerika..banyak meninggal daripada sembuh..ada apa ini..
Surya Ardy,"Yang beli masker walpun murah tapi gak ada !! ITU karena dilarang menimbun.. Coba kalian beli aja dengan harga mahal, pasti stock tetep ada sekarang penimbunan males jual karena takut tertangkap binggung kan loe !! Yang tertangkap masih bisa di hitung jari ITU pun penimbum pemula.yang sudah pro da gak mau jual lagi loe ketar ketir sekarang !!"
Jefri Herdian,Patuhi aturan pemerintah pusat untuk mencegah penularan
naira adhystia,"Ya allah Aku milikmu,hanya kembali ke padamu,,"
Devara Ackerman 19,First
Sigit Febrianto,orang indonesia kalau ada bencana1.teriak²pemerintah dungu2.minta bantuan dcukupi kebutuhannya selama dirumahkan.merasa dia udah g bisa apa² lagi3.bodo amat
Jumria 2019,"Malaysia 1000 kasus yg mati 10.. Indonesia 490 yg mati 48... Bahkan di Itali yg saat ini korban mati terbanyak, yg sembuh malah lbh 2rb dr yg mati.. artinya... Indonesia lebih bnyk resiko mati jika di diamkan.. ingat 270jt jiwa"
rudi shage,Apa slhnya diam di rmh ikuti intruksi pemerintah untuk mencegah virus ini menyebar please.
Dhany Prawira,"Sya bilang ini "" jaga jarak sosial "" kyk "" semi lockdown "" gmn pak solusinya buat biaya hidup n byr utang slma diam di rmh cz pkerjaan sya slh satu driver ojol"
Rahmat Nur Hadi,"Selama tidak ada lockdown hal ini tidak ada solusinya, kita masih kerja, kita masih berhubungan dengan banyak orang. Himbauan kerja dari rumah, tetapi banyak perusahaan swasta mengharuskan karyawannya untuk tetap masuk"
Rajab rajab,Aplause buat si planga plongo
Samsung Samsung,Kt harap rakyat indonesia jgn dgil kurangkn keluar rumh demi negara ini
Habib kpt,Parahsi tpi gw sih bodoamat
Zainal Mustofa,Boro2 diem d rumh kerja retail
Andrie Andri,LOCKDOWN sebelum kaya italia & usir semua warga asing terutama china dari bangsa ini karna mereka cuma bawa penyakitFAKTA makin banyak yg modar karna corona
nov tv,🤦🤦🤦🤦 melesat lagi
Ozy Ahmad,Saya heran ada apa dengan presentase kematian yang tinggi ini.  Apa yg beda dengan penanganan di Indonesia dengan di luar.  Paling egak di Malaysia
Dul bedul,Ojol gmn pak? Keluar rumah mati kena coronaDi rumah  mati ga ada makananYa Allah... hanya padaMu kami menyembah dan hanya padaMu kami memohon pertolongan.
Arif sky,Ada baiknya bapak ini diganti sama yg lain.
Dandi Pratama,"Update orang yang mninggal terus, kapan update telah ditemukanya vaksin untuk membunuh corona nih pak botak"
Bayu ozt gamers,Coba dari awal menutup semua akses masuk dari luar negeri dan menutup akses ke luar negeri pasti aman
